id,name,lon,lat,region,repayment,interest
E06000034,Thurrock,0.33490199,51.50989914,South East,0,0
UK001K2,Greater London Authority,-0.30864,51.49227142,London,187500000,563761.38
E10000007,Derbyshire,-1.6021,53.078579,East Midlands,101000000,636820.86
W06000011,Swansea,-3.96723008,51.65810013,Wales,94250000,342946.9
E09000005,Brent,-0.27568001,51.56439972,London,94000000,311766.71
E08000003,Manchester,-2.23358989,53.4701004,North West,66250000,56206.17
E06000016,Leicester,-1.13039994,52.63589859,East Midlands,56000000,198703.56
E09000007,Camden,-0.16289,51.54309845,London,51500000,402386.45
E47000001,Greater Manchester Combined Authority,-2.33407,53.506149,North West,49000000,282550.95
W15000002,Gwent Police,-2.9894,51.743229,Wales,43000000,148712.6
E09000018,Hounslow,-0.37843999,51.46239853,London,38750000,551696.06
E06000002,Middlesbrough,-1.21098995,54.54470062,North East,38000000,240979.44
E06000040,Windsor & Maidenhead,-0.67540997,51.4803009,South East,35000000,140580.82
E10000028,Staffordshire,-2.02756,52.909302,West Midlands,34000000,95253.43
E09000009,Ealing,-0.31406999,51.5243988,London,30000000,170531.51
E09000012,Hackney,-0.06045,51.55490112,London,27000000,100730.68
E10000017,Lancashire,-2.46091,53.86216,North West,27000000,22749.05
E10000034,Worcestershire,-2.20935,52.212872,West Midlands,27000000,20718.58
E09000032,Wandsworth,-0.20021001,51.45240021,London,26500000,197957.79
E23000018,Derbyshire Police,-1.6021,53.078579,East Midlands,26000000,127479.38
E08000008,Tameside,-2.0769999,53.47869873,North West,25000000,64813.7
E08000026,Coventry,-1.51908004,52.41419983,West Midlands,25000000,25921.91
E07000148,Norwich,1.28498006,52.64009857,East of England,23250000,30242.61
E09000025,Newham,0.027369,51.53129959,London,22000000,55227.4
W06000008,Ceredigion,-3.94993997,52.29800034,Wales,21500000,34278.77
E09000030,Tower Hamlets,-0.0364,51.51549911,London,20000000,420000
E06000057,Northumberland,-2.07521009,55.30039978,North East,20000000,66969.86
S12000036,Edinburgh,-3.27825999,55.91120148,Scotland,20000000,56531.51
E07000086,Eastleigh,-1.32942998,50.94869995,South East,20000000,56150.68
W06000002,Gwynedd,-3.8155899,52.89830017,Wales,19500000,106339.3
E07000081,Gloucester,-2.23263001,51.84640121,South West,19400000,45019.29
W06000022,Newport,-2.89769006,51.58229828,Wales,19000000,121434.77
E06000010,Kingston upon Hull,-0.30379999,53.76979828,Yorkshire and The Humber,18500000,32115.89
E09000019,Islington,-0.10992,51.54550171,London,18000000,421352.57
E06000008,Blackburn with Darwen,-2.46359992,53.70080185,North West,17000000,38856.73
E07000076,Tendring,1.10917997,51.85689926,East of England,16750000,90544.52
E07000063,Lewes,0.007671,50.83340073,South East,15750000,70043.9
E08000016,Barnsley,-1.54925001,53.5257988,Yorkshire and The Humber,15000000,120479.45
E06000023,Bristol,-2.57742,51.47109985,South West,15000000,89179.46
E10000025,Oxfordshire,-1.29146,51.771549,South East,15000000,80375.35
E08000012,Liverpool,-2.91364002,53.40829849,North West,15000000,42378.09
E08000025,Birmingham,-1.88141,52.48400116,West Midlands,13600000,2965.75
E06000006,Halton,-2.68852997,53.33420181,North West,13000000,275905.47
E07000226,Crawley,-0.19532999,51.12360001,South East,12000000,142441.91
E08000023,South Tyneside,-1.44695997,54.96989822,North East,11500000,35707.4
E07000134,North West Leicestershire,-1.42209005,52.74250031,East Midlands,11000000,47858.35
E23000010,West Yorkshire Police,-1.71817,53.741199,Yorkshire and The Humber,11000000,40516.43
E31000010,Derbyshire Fire Authority,-1.6021,53.078579,East Midlands,10400000,109262.24
E06000047,Durham,-1.8405,54.68510056,North East,10000000,94739.73
E10000018,Leicestershire,-1.3779,52.68779,East Midlands,10000000,74794.52
E31000045,West Yorkshire Fire Authority,-1.71817,53.741199,Yorkshire and The Humber,10000000,49863.01
E06000046,Isle of Wight,-1.33366001,50.67129898,South East,10000000,47760.54
E07000084,Basingstoke & Deane,-1.22020996,51.25939941,South East,10000000,45400
E09000015,Harrow,-0.33603001,51.59469986,London,10000000,45123.29
W06000010,Carmarthenshire,-4.2111001,51.89500046,Wales,10000000,26383.56
W06000012,Neath & Port Talbot,-3.74638009,51.64450073,Wales,10000000,20438.36
S12000014,Falkirk,-3.77060008,55.99599838,Scotland,10000000,10004.11
E08000007,Stockport,-2.12467003,53.39120102,North West,10000000,9660.27
E47000007,West Midlands Combined Authority,-1.96448,52.505341,West Midlands,10000000,9171.23
E06000031,Peterborough,-0.26874,52.59209824,East of England,10000000,5520.55
E10000032,West Sussex,-0.45933,50.95134,South East,10000000,3945.21
E07000135,Oadby & Wigston,-1.09300005,52.58869934,East Midlands,9750000,19696.02
E07000170,Ashfield,-1.25422001,53.09749985,East Midlands,9500000,40969.87
E08000033,Calderdale,-1.96182001,53.72050095,Yorkshire and The Humber,9100000,17523
S12000038,Renfrewshire,-4.56833982,55.84859848,Scotland,9000000,112405.48
E07000110,Maidstone,0.58406103,51.2356987,South East,9000000,42119.72
E10000014,Hampshire,-1.24736,51.044731,South East,8500000,340446.02
W06000013,Bridgend,-3.61359,51.56060028,Wales,8500000,17691.78
E08000029,Solihull,-1.71557999,52.43099976,West Midlands,8000000,138486.58
E10000023,North Yorkshire,-1.55032,54.093712,Yorkshire and The Humber,8000000,78185.21
E06000039,Slough,-0.57617003,51.50350189,South East,8000000,59049.31
E07000070,Chelmsford,0.49116299,51.73500061,East of England,8000000,47993.14
E31000020,Humberside Fire Authority,-0.66203,53.881222,Yorkshire and The Humber,8000000,15864.93
S12000006,Dumfries & Galloway,-4.02862978,55.09619904,Scotland,8000000,11127.4
E07000036,Erewash,-1.35090005,52.9382019,East Midlands,8000000,10702.49
E09000017,Hillingdon,-0.44182,51.53659821,London,7750000,19534.53
E23000032,Kent Police,0.719768,51.20002,South East,7000000,193419
E06000024,North Somerset,-2.75439,51.39709854,South West,7000000,49511.23
E07000078,Cheltenham,-2.07515001,51.89860153,South West,7000000,3864.38
E07000124,Ribble Valley,-2.41739988,53.92449951,North West,7000000,3246.44
E06000001,Hartlepool,-1.27023005,54.67620087,North East,6000000,46066.93
W06000014,Vale of Glamorgan,-3.39803004,51.44839859,Wales,6001000,13767.94
E07000041,Exeter,-3.51372004,50.71780014,South West,6000000,5350.68
E10000006,Cumbria,-2.90218,54.63826,North West,5000000,125873.97
E10000012,Essex,0.541046,51.809818,East of England,5000000,67011.09
E07000209,Guildford,-0.56256998,51.25370026,South East,5000000,65273.97
E07000111,Sevenoaks,0.188936,51.27560043,South East,5000000,57130.14
E09000026,Redbridge,0.070085,51.58589935,London,5000000,55456.17
E06000058,"Bournemouth, Christchurch & Poole",-1.84807003,50.74610138,South West,5000000,54273.97
E07000137,East Lindsey,0.020549,53.26480103,East Midlands,5000000,37397.26
E07000225,Chichester,-0.71630001,50.94179916,South East,5000000,32215.35
S12000023,Orkney Islands,-2.90028,58.94329834,Scotland,5000000,28444.38
S12000017,Highland,-4.66091013,57.58670044,Scotland,5000000,25506.85
E07000197,Stafford,-2.1647501,52.84790039,West Midlands,5000000,12602.74
E08000015,Wirral,-3.06502008,53.37450027,North West,5000000,10390.41
E23000004,Merseyside Police,-2.83893,53.40535,North West,5000000,7152.47
E09000027,Richmond upon Thames,-0.28913999,51.44029999,London,5000000,6465.75
W06000005,Flintshire,-3.17604995,53.21500015,Wales,5000000,5815.89
E08000034,Kirklees,-1.78085005,53.64229965,Yorkshire and The Humber,5000000,3991.78
E06000049,Cheshire East,-2.29298997,53.16790009,North West,5000000,3452.05
