latitude,longitude,farm,date
54.418370,-7.151890,Poultry,08/07/2004
54.871440,-6.604570,Poultry,08/07/2004
54.559690,-6.813510,Poultry,20/08/2004
54.615650,-6.625490,Poultry,15/06/2004
54.565660,-6.845370,Poultry,08/07/2004
54.633770,-6.888830,Poultry,22/12/2004
54.301500,-6.540260,Poultry,12/03/2004
54.622470,-6.929710,Poultry,16/06/2004
54.716080,-6.739150,Poultry,03/06/2004
54.521150,-6.669690,Poultry,18/06/2004
54.467570,-7.103860,Poultry,22/06/2005
54.534950,-7.030540,Poultry,01/07/2004
54.409280,-6.253650,Poultry,24/05/2004
54.565660,-6.845370,Poultry,14/05/2004
54.519780,-6.828320,Poultry,11/02/2005
54.367380,-6.734910,Poultry,02/06/2004
54.401230,-6.945940,Poultry,09/04/2004
54.444760,-7.081410,Poultry,22/11/2004
54.572640,-6.918640,Poultry,08/06/2004
54.417170,-6.856340,Poultry,08/07/2004
54.5593,-6.865027,Poultry,24/05/2004
54.450220,-6.774200,Poultry,20/07/2004
54.436470,-6.797220,Poultry,01/10/2004
54.622470,-6.929710,Poultry,18/06/2004
54.756130,-6.204890,Poultry,22/06/2004
54.741930,-6.237530,Poultry,03/06/2004
54.568640,-6.905230,Poultry,15/06/2004
54.225180,-6.264530,Poultry,05/10/2004
54.350870,-6.486620,Poultry,07/05/2004
54.599160,-6.587880,Poultry,17/05/2004
54.413260,-6.739200,Poultry,10/05/2004
54.355900,-6.893720,Poultry,28/04/2004
54.420530,-7.117200,Poultry,22/02/2005
54.200710,-6.230840,Poultry,01/06/2004
54.213870,-6.232560,Poultry,01/06/2004
54.521720,-6.904630,Poultry,16/06/2005
54.632330,-6.180620,Poultry,22/01/2008
54.585590,-6.809680,Poultry,28/09/2004
54.500540,-6.780730,Poultry,07/10/2005
54.763030,-7.516180,Poultry,24/01/2007
54.425210,-7.079460,Poultry,29/03/2007
54.535590,-6.911400,Poultry,08/02/2007
54.492310,-7.152780,Poultry,24/01/2007
54.496440,-7.148690,Poultry,12/02/2007
54.411640,-6.920580,Poultry,15/05/2007
54.594280,-7.068010,Poultry,22/01/2007
54.591300,-6.885580,Poultry,08/02/2007
54.513640,-6.867480,Poultry,14/02/2007
55.026400,-6.520130,Poultry,24/07/2007
54.779480,-7.479420,Poultry,04/07/2007
54.565680,-6.762240,Poultry,10/08/2007
54.529480,-7.212750,Poultry,23/07/2007
54.636090,-7.296300,Poultry,10/09/2007
55.017760,-6.505920,Poultry,06/08/2007
55.162160,-6.643750,Poultry,24/07/2007
55.131640,-6.549570,Poultry,23/07/2007
55.162580,-6.678790,Poultry,23/07/2007
54.190400,-6.295020,Poultry,28/08/2007
55.152290,-6.459390,Poultry,04/09/2007
54.231610,-5.894700,Poultry,23/07/2007
55.094550,-6.454390,Poultry,26/10/2007
54.929520,-6.374260,Poultry,10/08/2007
54.225790,-7.423320,Poultry,07/11/2007
54.659820,-6.913690,Poultry,02/11/2007
54.314190,-6.581660,Poultry,12/10/2007
54.472800,-6.757930,Poultry,23/07/2007
54.428450,-6.857310,Poultry,01/10/2007
54.424160,-6.283120,Poultry,24/07/2007
54.632250,-6.815810,Poultry,06/08/2007
54.435453,-6.297570,Poultry,28/08/2007
54.394510,-6.181570,Poultry,12/09/2007
54.387590,-6.071740,Poultry,06/08/2007
54.622470,-6.929710,Poultry,04/09/2007
54.586260,-7.298180,Poultry,12/10/2007
54.754820,-5.978590,Poultry,28/08/2007
54.412840,-6.633210,Poultry,16/10/2007
54.632330,-6.180620,Poultry,26/10/2007
54.438090,-5.861660,Poultry,04/09/2007
54.464460,-6.737710,Poultry,11/09/2007
54.332830,-6.496310,Poultry,16/10/2007
54.449650,-6.753930,Poultry,14/09/2007
54.497970,-6.422770,Poultry,07/11/2007
54.516600,-6.152690,Poultry,02/07/2007
54.485740,-6.241100,Poultry,11/09/2007
54.736720,-6.165100,Poultry,17/10/2007
54.444380,-7.036120,Poultry,10/09/2007
54.483700,-6.770920,Poultry,03/10/2007
54.571100,-6.766060,Poultry,04/09/2007
54.483700,-6.770920,Poultry,28/08/2007
54.572000,-6.741250,Poultry,08/08/2007
54.632330,-6.180620,Poultry,31/10/2007
54.443310,-6.205150,Poultry,01/08/2007
54.624160,-7.013010,Poultry,04/07/2007
54.270600,-6.250250,Poultry,23/10/2007
54.433980,-6.783100,Poultry,10/08/2007
54.548260,-6.920230,Poultry,04/09/2007
54.660890,-7.286140,Poultry,01/08/2007
54.846650,-6.697810,Poultry,09/11/2007
54.632330,-6.180620,Poultry,31/10/2007
54.914390,-6.416120,Poultry,12/05/2008
54.483700,-6.770920,Poultry,10/11/2007
54.474600,-5.935120,Poultry,22/07/2008
54.386360,-6.782140,Poultry,08/07/2008
54.569990,-6.744170,Poultry,13/06/2008
54.277390,-6.510890,Poultry,18/12/2008
54.439170,-6.821010,Poultry,13/10/2008
54.579300,-6.937360,Poultry,18/06/2008
54.453310,-6.765260,Poultry,16/06/2008
54.234680,-6.801980,Poultry,22/07/2008
54.405150,-7.112530,Poultry,22/07/2008
54.428940,-6.749110,Poultry,19/09/2008
54.369360,-6.832640,Poultry,08/07/2008
54.317020,-6.618930,Poultry,22/07/2008
54.317020,-6.618930,Poultry,22/07/2008
54.314190,-6.581660,Poultry,06/08/2008
54.420620,-6.797410,Poultry,03/09/2008
54.501220,-6.642550,Poultry,07/10/2008
54.375830,-6.782160,Poultry,22/07/2008
54.463250,-6.205310,Poultry,22/07/2008
54.725420,-6.384150,Poultry,19/11/2008
54.123590,-6.480910,Poultry,08/01/2009
54.993520,-6.702800,Poultry,04/03/2009
54.378270,-6.725560,Poultry,07/08/2009
54.900440,-7.417980,Poultry,01/10/2009
54.996210,-6.942600,Poultry,07/05/2010
54.187290,-7.333190,Poultry,23/06/2010
54.818960,-6.159090,Poultry,04/06/2010
54.924440,-6.186520,Poultry,09/12/2010
54.780680,-7.496230,Poultry,08/11/2010
54.376620,-6.711840,Poultry,25/06/2012
